longitud,latitud
-71.548638359800776,-33.021329246937995
-71.548637840863037,-33.021311224147752
-71.548616447319574,-33.021311661319977
-71.548615928386639,-33.021293638529386
-71.551086862392296,-33.019385682852985
-71.551065469354768,-33.019386120422524
-71.551065988748348,-33.019404143184197
-71.551087381790225,-33.019403705614359
-71.551086862392296,-33.019385682852985
-71.551536635562712,-33.0193945158018
-71.551429670397312,-33.019396703998886
-71.551430189865187,-33.019414726755407
-71.551387403787103,-33.019415602009211
-71.551387923246779,-33.019433624766265
-71.551366530202685,-33.019434062387973
-71.551367049658467,-33.019452085145282
-71.551388442706894,-33.019451647523283
-71.551474014895987,-33.019449896998637
-71.551473495418477,-33.019431874242819
-71.551516281501563,-33.01943099895913
-71.551516800987756,-33.019449021714344
-71.551559587077676,-33.019448146415407
-71.551559067582787,-33.019430123660783
-71.551537674542402,-33.019430561311786
-71.551536635562712,-33.0193945158018
-71.551621688180205,-33.019374742424333
-71.551578902127801,-33.019375617742853
-71.551579941123947,-33.019411663251759
-71.551601334159059,-33.019411225593736
-71.551601853662177,-33.019429248347798
-71.551623246701155,-33.01942881068581
-71.551621688180205,-33.019374742424333
-71.551750046326262,-33.019372116380907
-71.551707260279414,-33.019372991743367
-71.551708299327686,-33.019409037248678
-71.551751085391899,-33.019408161885025
-71.551750046326262,-33.019372116380907
-71.55168534773621,-33.019355406666051
-71.551663954715977,-33.019355844337824
-71.551664474230734,-33.019373867091176
-71.551643081205697,-33.019374304759587
-71.551643600716559,-33.019392327513174
-71.551686386774861,-33.019391452172087
-71.55168534773621,-33.019355406666051
-71.551984849970822,-33.01934927887671
-71.551963456957068,-33.019349716599748
-71.551963976532647,-33.019367739348901
-71.551985369550735,-33.019367301625564
-71.551984849970822,-33.01934927887671
-71.551920670928183,-33.019350592034847
-71.551877884897436,-33.019351467455294
-71.551878404455636,-33.019369490205648
-71.551921190495065,-33.019368614784597
-71.551920670928183,-33.019350592034847
-71.551619090654512,-33.01928462865402
-71.55159769765028,-33.019285066313607
-71.551598217150143,-33.019303089068096
-71.551576824141094,-33.019303526724322
-71.551577343637078,-33.019321549479038
-71.551620129663405,-33.019320674162323
-71.551619090654512,-33.01928462865402
-71.551960339513386,-33.019241580103611
-71.55191755353664,-33.019242455535107
-71.551918073100737,-33.019260478285211
-71.551960859086179,-33.019259602853111
-71.551960339513386,-33.019241580103611
-71.551874767558033,-33.019243330951966
-71.551853374568026,-33.019243768654896
-71.551853894119091,-33.019261791405903
-71.551875287113447,-33.019261353702667
-71.551874767558033,-33.019243330951966
-71.551027757617945,-33.019563075486253
-71.551070350644011,-33.019555498685762
-71.551070143913648,-33.019548325275451
-71.551027357758997,-33.019549200408939
-71.551027757617945,-33.019563075486253
-71.551026318982267,-33.019513154885281
-71.551004925912949,-33.019513592445932
-71.551005445296738,-33.019531615208095
-71.551026838370404,-33.019531177647139
-71.551026318982267,-33.019513154885281
-71.556478517345369,-33.018555712896614
-71.556435890928157,-33.018562098347438
-71.556436201486662,-33.018572852283185
-71.556372023229727,-33.018574167703086
-71.556372543686876,-33.018592190392418
-71.556393936443996,-33.018591751922479
-71.556394456905963,-33.018609774611434
-71.556501420706326,-33.01860758220532
-71.556500379739418,-33.018571536830329
-71.556478986988964,-33.018571975318274
-71.556478517345369,-33.018555712896614
-71.555588451528422,-33.018866132045311
-71.555638195036693,-33.018859706560697
-71.555588295546301,-33.018860729005709
-71.555588451528422,-33.018866132045311
-71.555652429413925,-33.018857867869301
-71.555673755372609,-33.018855113136802
-71.555673346563566,-33.018840952930717
-71.555651953734227,-33.018841391280063
-71.555652429413925,-33.018857867869301
-71.555737733239226,-33.018846848917747
-71.555780385142455,-33.018841339420476
-71.555780310703383,-33.018838761129089
-71.555737525048841,-33.018839637860729
-71.555737733239226,-33.018846848917747
-71.555690056491514,-33.018678310292167
-71.555647270911464,-33.018679186989111
-71.555648311535506,-33.018715232387507
-71.555691097132936,-33.018714355689376
-71.555690056491514,-33.018678310292167
-71.555434383520549,-33.018719615658512
-71.555391597912006,-33.018720492268777
-71.555392638433631,-33.018756537674157
-71.555435424059553,-33.018755661062691
-71.555434383520549,-33.018719615658512
-71.55541611231304,-33.018828190179072
-71.555394719482464,-33.018828628484172
-71.55539576000966,-33.018864673888828
-71.555417152848918,-33.018864235583123
-71.55541611231304,-33.018828190179072
-71.555247235900097,-33.018910207105669
-71.555306340077948,-33.018902572647299
-71.555247050590111,-33.018903787334807
-71.555247235900097,-33.018910207105669
-71.555287446299715,-33.018722626111177
-71.55526331672904,-33.018725742920019
-71.555263761309732,-33.018741144716181
-71.555199582872049,-33.018742459539098
-71.555200623316424,-33.018778504949758
-71.555222016138131,-33.018778066678514
-71.555222536365363,-33.018796089383443
-71.555243929190951,-33.018795651108242
-71.555243408959385,-33.018777628403605
-71.555264801780169,-33.018777190125043
-71.555264281544709,-33.018759167420647
-71.55528567436069,-33.018758729138717
-71.555286194600498,-33.018776751842815
-71.555328980239736,-33.018775875267366
-71.555327419495697,-33.018721807156702
-71.555287446299715,-33.018722626111177
-71.555203224435459,-33.018868618475345
-71.555181831591568,-33.018869056744421
-71.555182351812434,-33.018887079449655
-71.555203744660659,-33.018886641180274
-71.555203224435459,-33.018868618475345
-71.555075387564287,-33.018889270741639
-71.555053994713262,-33.018889708989043
-71.55505451490852,-33.018907731696025
-71.555075907763893,-33.018907293448315
-71.555075387564287,-33.018889270741639
-71.554837465425464,-33.018803977710967
-71.554773286920877,-33.018805292316877
-71.554774847331657,-33.018859360450229
-71.554839025875339,-33.018858045841625
-71.554837465425464,-33.018803977710967
-71.555050057204582,-33.018753289372988
-71.555007405280833,-33.018758798620567
-71.555007567716842,-33.018764426518167
-71.554964782072375,-33.018765302983162
-71.554955591616718,-33.018765491247962
-71.554922101414448,-33.018769817072659
-71.55492303675841,-33.018802224851832
-71.554901643925874,-33.018802663072108
-71.554902684251388,-33.018838708490797
-71.554924077092622,-33.018838270269924
-71.554966862773696,-33.018837393817179
-71.554965302247012,-33.018783325691757
-71.555029480726049,-33.018782010987877
-71.555030000914186,-33.018800033695513
-71.555051393743938,-33.01879959545326
-71.555050057204582,-33.018753289372988
-71.555012649922119,-33.018940508177188
-71.555033975927984,-33.018937753552265
-71.555033642244069,-33.018926192647299
-71.555012249383438,-33.018926630887989
-71.555012649922119,-33.018940508177188
-71.552538469708466,-33.019247783086143
-71.55249568374802,-33.019248658715988
-71.552496203429868,-33.019266681457935
-71.552538989399011,-33.019265805827501
-71.552538469708466,-33.019247783086143
-71.552343334621597,-33.019161609583925
-71.552321941659144,-33.019162047366223
-71.55232246130393,-33.019180070110878
-71.552279675368993,-33.019180945665084
-71.552280195005537,-33.019198968410265
-71.552301587977595,-33.019198530634696
-71.552322980949185,-33.019198092855461
-71.552323500594895,-33.019216115599995
-71.552366286545379,-33.019215240029943
-71.552365247237034,-33.019179194542026
-71.552343854270717,-33.019179632328282
-71.552343334621597,-33.019161609583925
-71.552492565666626,-33.019140522263015
-71.552428386800671,-33.019141835674915
-71.55242942613323,-33.019177881161283
-71.5524508190977,-33.019177443360377
-71.552451338769004,-33.019195466103163
-71.552494124705234,-33.019194590489768
-71.552493605025234,-33.019176567747586
-71.552514997988311,-33.019176129935687
-71.552514478304431,-33.019158107193732
-71.552493085345688,-33.019158545005318
-71.552492565666626,-33.019140522263015
-71.552236426221484,-33.01916575521583
-71.552183345428844,-33.019173323558022
-71.55217909359871,-33.019174004581792
-71.552172481213731,-33.019175180913798
-71.552172710523507,-33.019183134486518
-71.55223688943218,-33.019181821204647
-71.552236426221484,-33.01916575521583
-71.553285664191478,-33.019178388999933
-71.553264271240735,-33.01917882694395
-71.553264791077581,-33.019196849675296
-71.553286184032672,-33.019196411730981
-71.553285664191478,-33.019178388999933
-71.553260632395762,-33.019052667822912
-71.553217846553679,-33.019053543695755
-71.553218366378601,-33.019071566428103
-71.553261152229368,-33.019070690554656
-71.553260632395762,-33.019052667822912
-71.55260264864566,-33.019246469613918
-71.552581255667064,-33.019246907441655
-71.552582295065989,-33.019282952923106
-71.552603688053281,-33.019282515094766
-71.55260264864566,-33.019246469613918
-71.552965289657621,-33.019202980511231
-71.552943896695567,-33.019203418400622
-71.552944416467724,-33.019221441136402
-71.552965809434099,-33.019221003246713
-71.552965289657621,-33.019202980511231
-71.553068615886332,-33.019074631869834
-71.553025830027238,-33.019075507677371
-71.553026349813521,-33.019093530412363
-71.553004956878937,-33.019093968310941
-71.55300547666134,-33.019111991046188
-71.553048262538738,-33.019111115244776
-71.553047742747651,-33.019093092510126
-71.553069135681298,-33.019092654604222
-71.553068615886332,-33.019074631869834
-71.552843141972943,-33.019079247055508
-71.552790692369626,-33.019086725669361
-71.552791027507567,-33.019098347095294
-71.552748241627739,-33.019099222808222
-71.552748056553057,-33.019092804951079
-71.552726738642207,-33.019095844586566
-71.552726848687129,-33.019099660659201
-71.55270545574605,-33.019100098506506
-71.552705975467646,-33.019118121245953
-71.552663189575426,-33.019118996930189
-71.552662784899425,-33.019104963471605
-71.552641466981754,-33.019108003092796
-71.552641796628606,-33.019119434766807
-71.552620403681345,-33.019119872599774
-71.552621443091155,-33.019155918080848
-71.552642836047127,-33.019155480247285
-71.552643355757056,-33.019173502987449
-71.55275032055161,-33.019171313763216
-71.552749800819953,-33.019153291024551
-71.552899551482483,-33.019150225958917
-71.55289903172087,-33.019132203222306
-71.552941817611597,-33.019131327456911
-71.552941297841755,-33.019113304720847
-71.552984083721938,-33.019112428941405
-71.552983044166282,-33.019076383470257
-71.552854686572303,-33.019079010761047
-71.552843141972943,-33.019079247055508
-71.552069902424364,-33.019329505200218
-71.552027116408794,-33.019330380671335
-71.552028155585532,-33.019366426167899
-71.552070941618467,-33.019365550695582
-71.552069902424364,-33.019329505200218
-71.539563344034789,-33.026635860349266
-71.539522651837359,-33.026602655125899
-71.539495257300828,-33.026586443223287
-71.539483455314837,-33.026583386847548
-71.539477431614415,-33.026583509508114
-71.53947846597039,-33.026619555314944
-71.539499860948197,-33.026619119647449
-71.539500378131223,-33.026637142550484
-71.539563344034789,-33.026635860349266
-71.53906013696114,-33.026141170226282
-71.539057935715277,-33.02613897714614
-71.539057999883795,-33.026141213736047
-71.53906013696114,-33.026141170226282
-71.539042398863359,-33.026123497925163
-71.538937611754179,-33.026019099302168
-71.538925806229003,-33.026010519763105
-71.538926528322904,-33.026035689722633
-71.538905133476547,-33.026036125285053
-71.538905650527042,-33.026054148198099
-71.538927045377747,-33.026053712635388
-71.538927562433045,-33.026071735548065
-71.538948957287644,-33.026071299981389
-71.538949991408316,-33.026107345805983
-71.538971386271129,-33.02610691023505
-71.538971903336517,-33.02612493314696
-71.538993298203224,-33.026124497572063
-71.539042398863359,-33.026123497925163
-71.539202042001008,-33.026282548530396
-71.539190159579817,-33.026270710240105
-71.539190505983072,-33.026282783410835
-71.539202042001008,-33.026282548530396
-71.539184303845971,-33.02626487625259
-71.539168122241449,-33.026248754735683
-71.539168593972761,-33.026265196112689
-71.539184303845971,-33.02626487625259
